Gymnasieprogram_kod,Gymnasieprogram,Gymnasieprogramstyp
IMYVF,Introduktionsprogram; Yrkesintroduktion; mot VVS- och fastighetsprogrammet (gäller fr o m 2018-07-01),Introduktionsprogram
IMYVF0L,"Introduktionsprogram; Yrkesintroduktion; mot VVS- och fastighetsprogrammet, lärlingsliknande utbildning (gäller fr o m 2018-07-01)",Introduktionsprogram
IMYVO,Introduktionsprogram; Yrkesintroduktion; mot Vård- och omsorgsprogrammet (gäller fr o m 2018-07-01),Introduktionsprogram
IMYVO0L,"Introduktionsprogram; Yrkesintroduktion; mot Vård- och omsorgsprogrammet,lärlingsliknande utbildning (gäller fr o m 2018-07-01)",Introduktionsprogram
IN,Industritekniska programmet,Yrkesprogram
IN000000I,Industritekniska programmet (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
IN000000N,Industritekniska programmet (Nationellt godkänd idrottsutbildning),Yrkesprogram
INDRI,"Industritekniska programmet, Driftsäkerhet och underhåll",Yrkesprogram
INDRI000I,Industritekniska programmet; Driftsäkerhet och underhåll (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
INDRI000N,Industritekniska programmet; Driftsäkerhet och underhåll (Nationellt godkänd idrottsutbildning),Yrkesprogram
INDRI00R,"Industritekniska programmet, Driftsäkerhet och underhåll (riksrekryterande)",Yrkesprogram
INDRI00RI,Industritekniska programmet; Driftsäkerhet och underhåll (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
INDRI00RN,Industritekniska programmet; Driftsäkerhet och underhåll (riksrekryterande) (Nationellt godkänd idrottsutbildning),Yrkesprogram
INDRI0A,"Industritekniska programmet; Driftsäkerhet och underhåll, anställd lärling",Yrkesprogram
INDRI0A0I,"Industritekniska programmet; Driftsäkerhet och underhåll, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
INDRI0A0N,"Industritekniska programmet; Driftsäkerhet och underhåll, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
INDRI0AR,"Industritekniska programmet; Driftsäkerhet och underhåll, anställd lärling (riksrekryterande)",Yrkesprogram
INDRI0ARI,"Industritekniska programmet; Driftsäkerhet och underhåll, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
INDRI0ARN,"Industritekniska programmet; Driftsäkerhet och underhåll, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
INDRI0L,"Industritekniska programmet, Driftsäkerhet och underhåll, lärling",Yrkesprogram
INDRI0L0I,"Industritekniska programmet; Driftsäkerhet och underhåll, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
INDRI0L0N,"Industritekniska programmet; Driftsäkerhet och underhåll, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
INDRI0LR,"Industritekniska programmet, Driftsäkerhet och underhåll, lärling (riksrekryterande)",Yrkesprogram
INDRI0LRI,"Industritekniska programmet; Driftsäkerhet och underhåll, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
INDRI0LRN,"Industritekniska programmet; Driftsäkerhet och underhåll, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
INPRK,"Industritekniska programmet, Produkt och maskinteknik",Yrkesprogram
INPRK000I,Industritekniska programmet; Produkt och maskinteknik (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
INPRK000N,Industritekniska programmet; Produkt och maskinteknik (Nationellt godkänd idrottsutbildning),Yrkesprogram
INPRK00R,"Industritekniska programmet, Produkt och maskinteknik (riksrekryterande)",Yrkesprogram
INPRK00RI,Industritekniska programmet; Produkt och maskinteknik (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
INPRK00RN,Industritekniska programmet; Produkt och maskinteknik (riksrekryterande) (Nationellt godkänd idrottsutbildning),Yrkesprogram
INPRK0A,"Industritekniska programmet; Produkt och maskinteknik, anställd lärling",Yrkesprogram
INPRK0A0I,"Industritekniska programmet; Produkt och maskinteknik, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
INPRK0A0N,"Industritekniska programmet; Produkt och maskinteknik, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
INPRK0AR,"Industritekniska programmet; Produkt och maskinteknik, anställd lärling (riksrekryterande)",Yrkesprogram
INPRK0ARI,"Industritekniska programmet; Produkt och maskinteknik, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
INPRK0ARN,"Industritekniska programmet; Produkt och maskinteknik, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
INPRK0L,"Industritekniska programmet, Produkt och maskinteknik, lärling",Yrkesprogram
INPRK0L0I,"Industritekniska programmet; Produkt och maskinteknik, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
INPRK0L0N,"Industritekniska programmet; Produkt och maskinteknik, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
INPRK0LR,"Industritekniska programmet, Produkt och maskinteknik, lärling (riksrekryterande)",Yrkesprogram
INPRK0LRI,"Industritekniska programmet; Produkt och maskinteknik, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
INPRK0LRN,"Industritekniska programmet; Produkt och maskinteknik, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
INPRO,"Industritekniska programmet, Processteknik",Yrkesprogram
INPRO000I,Industritekniska programmet; Processteknik (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
INPRO000N,Industritekniska programmet; Processteknik (Nationellt godkänd idrottsutbildning),Yrkesprogram
INPRO0A,"Industritekniska programmet; Processteknik, anställd lärling",Yrkesprogram
INPRO0A0I,"Industritekniska programmet; Processteknik, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
INPRO0A0N,"Industritekniska programmet; Processteknik, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
INPRO0L,"Industritekniska programmet, Processteknik, lärling",Yrkesprogram
INPRO0L0I,"Industritekniska programmet; Processteknik, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
INPRO0L0N,"Industritekniska programmet; Processteknik, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
INSVE,"Industritekniska programmet, Svetsteknik",Yrkesprogram
INSVE000I,Industritekniska programmet; Svetsteknik (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
INSVE000N,Industritekniska programmet; Svetsteknik (Nationellt godkänd idrottsutbildning),Yrkesprogram
INSVE00R,"Industritekniska programmet, Svetsteknik (riksrekryterande)",Yrkesprogram
INSVE00RI,Industritekniska programmet; Svetsteknik (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
INSVE00RN,Industritekniska programmet; Svetsteknik (riksrekryterande) (Nationellt godkänd idrottsutbildning),Yrkesprogram
INSVE0A,"Industritekniska programmet; Svetsteknik, anställd lärling",Yrkesprogram
INSVE0A0I,"Industritekniska programmet; Svetsteknik, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
INSVE0A0N,"Industritekniska programmet; Svetsteknik, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
INSVE0ARI,"Industritekniska programmet; Svetsteknik, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
INSVE0ARN,"Industritekniska programmet; Svetsteknik, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
INSVE0L,"Industritekniska programmet, Svetsteknik, lärling",Yrkesprogram
INSVE0L0I,"Industritekniska programmet; Svetsteknik, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
INSVE0L0N,"Industritekniska programmet; Svetsteknik, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
INSVE0LR,"Industritekniska programmet, Svetsteknik, lärling (riksrekryterande)",Yrkesprogram
INSVE0LRI,"Industritekniska programmet; Svetsteknik, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
INSVE0LRN,"Industritekniska programmet; Svetsteknik, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
MX,Marinteknikutbildningen,Riksrekryterande yrkesutbildning
MX000000I,Marinteknikutbildningen (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
MX000000N,Marinteknikutbildningen (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
MXELO,Marinteknikutbildningen; El och elektronik,Riksrekryterande yrkesutbildning
MXELO000I,Marinteknikutbildningen; El och elektronik (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
MXELO000N,Marinteknikutbildningen; El och elektronik (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
MXELO0A,"Marinteknikutbildningen; El och elektronik, anställd lärling",Riksrekryterande yrkesutbildning
MXELO0A0I,"Marinteknikutbildningen; El och elektronik, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Riksrekryterande yrkesutbildning
MXELO0A0N,"Marinteknikutbildningen; El och elektronik, anställd lärling (Nationellt godkänd idrottsutbildning)",Riksrekryterande yrkesutbildning
MXELO0L,"Marinteknikutbildningen; El och elektronik, lärling",Riksrekryterande yrkesutbildning
MXELO0L0I,"Marinteknikutbildningen; El och elektronik, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Riksrekryterande yrkesutbildning
MXELO0L0N,"Marinteknikutbildningen; El och elektronik, lärling (Nationellt godkänd idrottsutbildning)",Riksrekryterande yrkesutbildning
MXSER,Marinteknikutbildningen; Service och reparation,Riksrekryterande yrkesutbildning
MXSER000I,Marinteknikutbildningen; Service och reparation (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
MXSER000N,Marinteknikutbildningen; Service och reparation (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
MXSER0A,"Marinteknikutbildningen; Service och reparation, anställd lärling",Riksrekryterande yrkesutbildning
MXSER0A0I,"Marinteknikutbildningen; Service och reparation, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Riksrekryterande yrkesutbildning
MXSER0A0N,"Marinteknikutbildningen; Service och reparation, anställd lärling (Nationellt godkänd idrottsutbildning)",Riksrekryterande yrkesutbildning
MXSER0L,"Marinteknikutbildningen; Service och reparation, lärling",Riksrekryterande yrkesutbildning
MXSER0L0I,"Marinteknikutbildningen; Service och reparation, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Riksrekryterande yrkesutbildning
MXSER0L0N,"Marinteknikutbildningen; Service och reparation, lärling (Nationellt godkänd idrottsutbildning)",Riksrekryterande yrkesutbildning
NA,Naturvetenskapsprogrammet,Högskoleförberedande program
NA000000I,Naturvetenskapsprogrammet (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
NA000000N,Naturvetenskapsprogrammet (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
NABILVE,"Naturvetenskapsprogrammet, Särskild variant inom det estetiska området, bild",Högskoleförberedande program
NABILVE0I,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, bild (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NABILVE0N,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, bild (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NADANVE,"Naturvetenskapsprogrammet, Särskild variant inom det estetiska området, dans",Högskoleförberedande program
NADANVE0I,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, dans (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NADANVE0N,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, dans (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NADESVE,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, design",Högskoleförberedande program
NAESEVE,"Naturvetenskapsprogrammet, Särskild variant inom det estetiska området, estetisk kommunikation",Högskoleförberedande program
NAESEVE0I,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, estetisk kommunikation (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NAESEVE0N,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, estetisk kommunikation (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NAESTVE,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, estetik och media",Högskoleförberedande program
NAESTVE0I,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, estetik och media (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NAESTVE0N,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, estetik och media (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NAFOTVE,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, foto",Högskoleförberedande program
NAFOTVE0I,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, foto (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NAFOTVE0N,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, foto (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NAFYSVS,"Naturvetenskapsprogrammet, Särskild variant, fysik (spetsutbildning)",Högskoleförberedande program
NAFYSVS0I,"Naturvetenskapsprogrammet; Särskild variant, fysik (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NAFYSVS0N,"Naturvetenskapsprogrammet; Särskild variant, fysik (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NAHIPV,"Naturvetenskapsprogrammet; Särskild variant, hippologi",Högskoleförberedande program
NAHIPV00I,"Naturvetenskapsprogrammet; Särskild variant, hippologi (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NAHIPV00N,"Naturvetenskapsprogrammet; Särskild variant, hippologi (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NAHIPV0R,"Naturvetenskapsprogrammet, Särskild variant, hippologi (riksrekryterande)",Högskoleförberedande program
NAHIPV0RI,"Naturvetenskapsprogrammet; Särskild variant, hippologi (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NAHIPV0RN,"Naturvetenskapsprogrammet; Särskild variant, hippologi (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NAMATVS,"Naturvetenskapsprogrammet, Särskild variant, matematik (spetsutbildning)",Högskoleförberedande program
NAMATVS0I,"Naturvetenskapsprogrammet; Särskild variant, matematik (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NAMATVS0N,"Naturvetenskapsprogrammet; Särskild variant, matematik (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NAMUSVE,"Naturvetenskapsprogrammet, Särskild variant inom det estetiska området, musik",Högskoleförberedande program
NAMUSVE0I,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, musik (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NAMUSVE0N,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, musik (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NANAS,"Naturvetenskapsprogrammet, Naturvetenskap och samhälle",Högskoleförberedande program
NANAS000I,Naturvetenskapsprogrammet; Naturvetenskap och samhälle (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
NANAS000N,Naturvetenskapsprogrammet; Naturvetenskap och samhälle (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
NANASVE,"Naturvetenskapsprogrammet, Naturvetenskap och samhälle, särskild variant inom det estetiska området",Högskoleförberedande program
NANASVE0I,"Naturvetenskapsprogrammet; Naturvetenskap och samhälle, särskild variant inom det estetiska området (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NANASVE0N,"Naturvetenskapsprogrammet; Naturvetenskap och samhälle, särskild variant inom det estetiska området (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NANAT,"Naturvetenskapsprogrammet, Naturvetenskap",Högskoleförberedande program
NANAT000I,Naturvetenskapsprogrammet; Naturvetenskap (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
NANAT000N,Naturvetenskapsprogrammet; Naturvetenskap (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
NANAT0S,"Naturvetenskapsprogrammet, Naturvetenskap (spetsutbildning)",Högskoleförberedande program
NANAT0S0I,Naturvetenskapsprogrammet; Naturvetenskap (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
NANAT0S0N,Naturvetenskapsprogrammet; Naturvetenskap (spetsutbildning) (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
NANATVE,"Naturvetenskapsprogrammet, Naturvetenskap, särskild variant inom det estetiska området",Högskoleförberedande program
NANATVE0I,"Naturvetenskapsprogrammet; Naturvetenskap, särskild variant inom det estetiska området (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NANATVE0N,"Naturvetenskapsprogrammet; Naturvetenskap, särskild variant inom det estetiska området (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NASCIVS,"Naturvetenskapsprogrammet, Särskild variant, science (spetsutbildning)",Högskoleförberedande program
NASCIVS0I,"Naturvetenskapsprogrammet; Särskild variant, science (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NASCIVS0N,"Naturvetenskapsprogrammet; Särskild variant, science (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NATEAVE,"Naturvetenskapsprogrammet, Särskild variant inom det estetiska området, teater",Högskoleförberedande program
NATEAVE0I,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, teater (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NATEAVE0N,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, teater (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NAWALV,"Naturvetenskapsprogrammet, Särskild variant, Waldorf",Högskoleförberedande program
NAWALV00I,"Naturvetenskapsprogrammet; Särskild variant, Waldorf (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NAWALV00N,"Naturvetenskapsprogrammet; Särskild variant, Waldorf (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NAWALV0R,"Naturvetenskapsprogrammet, Särskild variant, Waldorf (riksrekryterande)",Högskoleförberedande program
NAWALV0RI,"Naturvetenskapsprogrammet; Särskild variant, Waldorf (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NAWALV0RN,"Naturvetenskapsprogrammet; Särskild variant, Waldorf (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NAWALVE,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, Waldorf",Högskoleförberedande program
NAWALVE0I,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, Waldorf (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NAWALVE0N,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, Waldorf (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NAWNAV,"Naturvetenskapsprogrammet, Särskild variant, Waldorf-natur",Högskoleförberedande program
NAWNAV00I,"Naturvetenskapsprogrammet; Särskild variant, Waldorf-natur (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NAWNAV00N,"Naturvetenskapsprogrammet; Särskild variant, Waldorf-natur (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NAWNAV0R,"Naturvetenskapsprogrammet, Särskild variant, Waldorf-natur (riksrekryterande)",Högskoleförberedande program
NAWNAV0RI,"Naturvetenskapsprogrammet; Särskild variant, Waldorf-natur (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NAWNAV0RN,"Naturvetenskapsprogrammet; Särskild variant, Waldorf-natur (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NAWNAVE,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, Waldorf natur",Högskoleförberedande program
NAWNAVE0I,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, Waldorf natur (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
NAWNAVE0N,"Naturvetenskapsprogrammet; Särskild variant inom det estetiska området, Waldorf natur (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
NB,Naturbruksprogrammet,Yrkesprogram
NB000000I,Naturbruksprogrammet (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
NB000000N,Naturbruksprogrammet (Nationellt godkänd idrottsutbildning),Yrkesprogram
NBDJU,"Naturbruksprogrammet, Djur",Yrkesprogram
NBDJU000I,Naturbruksprogrammet; Djur (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
NBDJU000N,Naturbruksprogrammet; Djur (Nationellt godkänd idrottsutbildning),Yrkesprogram
NBDJU00R,"Naturbruksprogrammet, Djur (riksrekryterande)",Yrkesprogram
NBDJU00RI,Naturbruksprogrammet; Djur (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
NBDJU00RN,Naturbruksprogrammet; Djur (riksrekryterande) (Nationellt godkänd idrottsutbildning),Yrkesprogram
NBDJU0A,"Naturbruksprogrammet; Djur, anställd lärling",Yrkesprogram
NBDJU0A0I,"Naturbruksprogrammet; Djur, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBDJU0A0N,"Naturbruksprogrammet; Djur, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBDJU0AR,"Naturbruksprogrammet; Djur, anställd lärling (riksrekryterande)",Yrkesprogram
NBDJU0ARI,"Naturbruksprogrammet; Djur, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBDJU0ARN,"Naturbruksprogrammet; Djur, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBDJU0L,"Naturbruksprogrammet, Djur, lärling",Yrkesprogram
NBDJU0L0I,"Naturbruksprogrammet; Djur, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBDJU0L0N,"Naturbruksprogrammet; Djur, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBDJU0LR,"Naturbruksprogrammet, Djur, lärling (riksrekryterande)",Yrkesprogram
NBDJU0LRI,"Naturbruksprogrammet; Djur, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBDJU0LRN,"Naturbruksprogrammet; Djur, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBDJUV0R,"Naturbruksprogrammet; Djur, särskild variant (riksrekryterande)",Yrkesprogram
NBDJUV0RI,"Naturbruksprogrammet; Djur, särskild variant (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBDJUV0RN,"Naturbruksprogrammet; Djur, särskild variant (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBDJUVAR,"Naturbruksprogrammet; Djur, särskild variant, anställd lärling (riksrekryterande)",Yrkesprogram
NBDJUVARI,"Naturbruksprogrammet; Djur, särskild variant, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBDJUVARN,"Naturbruksprogrammet; Djur, särskild variant, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBDJUVLR,"Naturbruksprogrammet; Djur, särskild variant, lärling (riksrekryterande)",Yrkesprogram
NBDJUVLRI,"Naturbruksprogrammet; Djur, särskild variant, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBDJUVLRN,"Naturbruksprogrammet; Djur, särskild variant, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBHASV,"Naturbruksprogrammet; Särskild variant, hästskötare",Yrkesprogram
NBHASV00I,"Naturbruksprogrammet; Särskild variant, hästskötare (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBHASV00N,"Naturbruksprogrammet; Särskild variant, hästskötare (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBHASV0R,"Naturbruksprogrammet; Särskild variant, hästskötare (riksrekryterande)",Yrkesprogram
NBHASV0RI,"Naturbruksprogrammet; Särskild variant, hästskötare (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBHASV0RN,"Naturbruksprogrammet; Särskild variant, hästskötare (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBHASVA,"Naturbruksprogrammet; Särskild variant, hästskötare, anställd lärling",Yrkesprogram
NBHASVA0I,"Naturbruksprogrammet; Särskild variant, hästskötare, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBHASVA0N,"Naturbruksprogrammet; Särskild variant, hästskötare, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBHASVAR,"Naturbruksprogrammet; Särskild variant, hästskötare, anställd lärling (riksrekryterande)",Yrkesprogram
NBHASVARI,"Naturbruksprogrammet; Särskild variant, hästskötare, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBHASVARN,"Naturbruksprogrammet; Särskild variant, hästskötare, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBHASVL,"Naturbruksprogrammet; Särskild variant, hästskötare, lärling",Yrkesprogram
NBHASVL0I,"Naturbruksprogrammet; Särskild variant, hästskötare, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBHASVL0N,"Naturbruksprogrammet; Särskild variant, hästskötare, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBHASVLR,"Naturbruksprogrammet; Särskild variant, hästskötare, lärling (riksrekryterande)",Yrkesprogram
NBHASVLRI,"Naturbruksprogrammet; Särskild variant, hästskötare, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBHASVLRN,"Naturbruksprogrammet; Särskild variant, hästskötare, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBLAN,"Naturbruksprogrammet, Lantbruk",Yrkesprogram
NBLAN000I,Naturbruksprogrammet; Lantbruk (Idrottsutbildning vid riksidrottsgymnasium),Yrkesprogram
NBLAN000N,Naturbruksprogrammet; Lantbruk (Nationellt godkänd idrottsutbildning),Yrkesprogram
NBLAN0A,"Naturbruksprogrammet; Lantbruk, anställd lärling",Yrkesprogram
NBLAN0A0I,"Naturbruksprogrammet; Lantbruk, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBLAN0A0N,"Naturbruksprogrammet; Lantbruk, anställd lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBLAN0L,"Naturbruksprogrammet, Lantbruk, lärling",Yrkesprogram
NBLAN0L0I,"Naturbruksprogrammet; Lantbruk, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBLAN0L0N,"Naturbruksprogrammet; Lantbruk, lärling (Nationellt godkänd idrottsutbildning)",Yrkesprogram
NBMASV,"Naturbruksprogrammet; Särskild variant, maskinmekaniker",Yrkesprogram
NBMASV00I,"Naturbruksprogrammet; Särskild variant, maskinmekaniker (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
NBMASV00N,"Naturbruksprogrammet; Särskild variant, maskinmekaniker (Nationellt godkänd idrottsutbildning)",Yrkesprogram
